timestamp_ms,H,V,etiqueta
1779257054086,17.95,17.95,abajo
1779257054094,21.2,21.2,abajo
1779257054094,32.11,32.11,abajo
1779257054094,17.94,17.94,abajo
1779257054122,27.18,27.18,abajo
1779257054124,31.5,31.5,abajo
1779257054124,19.38,19.38,abajo
1779257054125,32.48,32.48,abajo
1779257054125,28.27,28.27,abajo
1779257054125,20.48,20.48,abajo
1779257054144,33.47,33.47,abajo
1779257054145,25.16,25.16,abajo
1779257054145,21.68,21.68,abajo
1779257054171,30.54,30.54,abajo
1779257054171,16.53,16.53,abajo
1779257054172,21.91,21.91,abajo
1779257054172,24.75,24.75,abajo
1779257054173,9.32,9.32,abajo
1779257054199,19.42,19.42,abajo
1779257054200,22.51,22.51,abajo
1779257054200,15.3,15.3,abajo
1779257054200,30.8,30.8,abajo
1779257054227,22.76,22.76,abajo
1779257054227,17.52,17.52,abajo
1779257054228,32.8,32.8,abajo
1779257054228,22.56,22.56,abajo
1779257054228,25.34,25.34,abajo
1779257054254,33.84,33.84,abajo
1779257054255,19.49,19.49,abajo
1779257054255,26.58,26.58,abajo
1779257054256,30.96,30.96,abajo
1779257054256,20.9,20.9,abajo
1779257054282,33.84,33.84,abajo
1779257054282,27.5,27.5,abajo
1779257054283,19.78,19.78,abajo
1779257054283,32.84,32.84,abajo
1779257054309,20.59,20.59,abajo
1779257054309,13.57,13.57,abajo
1779257054309,21.25,21.25,abajo
1779257054310,6.16,6.16,abajo
1779257054310,10.58,10.58,abajo
1779257054336,14.56,14.56,abajo
1779257054337,2.14,2.14,abajo
1779257054337,14.96,14.96,abajo
1779257054337,18.5,18.5,abajo
1779257054363,13.69,13.69,abajo
1779257054363,31.35,31.35,abajo
1779257054364,27.25,27.25,abajo
1779257054364,25.56,25.56,abajo
1779257054390,44.04,44.04,abajo
1779257054390,36.68,36.68,abajo
1779257054390,42.04,42.04,abajo
1779257054391,52.88,52.88,abajo
1779257054391,38.62,38.62,abajo
1779257054417,51.8,51.8,abajo
1779257054417,49.65,49.65,abajo
1779257054417,29.72,29.72,abajo
1779257054418,37.79,37.79,abajo
1779257054443,31.05,31.05,abajo
1779257054443,18.98,18.98,abajo
1779257054444,28.12,28.12,abajo
1779257054444,8.34,8.34,abajo
1779257054444,-1.46,-1.46,abajo
1779257054470,-2.28,-2.28,abajo
1779257054470,-25.01,-25.01,abajo
1779257054471,-33.48,-33.48,abajo
1779257054471,-45.09,-45.09,abajo
1779257054497,-79.55,-79.55,abajo
1779257054497,-94.56,-94.56,abajo
1779257054497,-122.06,-122.06,abajo
1779257054498,-154.82,-154.82,abajo
1779257054498,-164.3,-164.3,abajo
1779257054524,-200.84,-200.84,abajo
1779257054525,-231.72,-231.72,abajo
1779257054525,-249.51,-249.51,abajo
1779257054525,-295.52,-295.52,abajo
1779257054526,-316.93,-316.93,abajo
1779257054551,-340.21,-340.21,abajo
1779257054552,-379.15,-379.15,abajo
1779257054552,-390.2,-390.2,abajo
1779257054553,-418.14,-418.14,abajo
1779257054579,-451.29,-451.29,abajo
1779257054579,-461.13,-461.13,abajo
1779257054580,-495.98,-495.98,abajo
1779257054580,-515.34,-515.34,abajo
1779257054606,-524.77,-524.77,abajo
1779257054607,-553.26,-553.26,abajo
1779257054607,-556.9,-556.9,abajo
1779257054608,-572.17,-572.17,abajo
1779257054608,-601.92,-601.92,abajo
1779257054634,-602.69,-602.69,abajo
1779257054635,-625.39,-625.39,abajo
1779257054635,-647.81,-647.81,abajo
1779257054635,-647.99,-647.99,abajo
1779257054662,-668.16,-668.16,abajo
1779257054662,-674.31,-674.31,abajo
