timestamp_ms,H,V,etiqueta
1779296779199,19.42,19.42,arriba
1779296779203,21.66,21.66,arriba
1779296779212,19.68,19.68,arriba
1779296779216,17.9,17.9,arriba
1779296779224,16.3,16.3,arriba
1779296779228,10.86,10.86,arriba
1779296779236,9.96,9.96,arriba
1779296779240,7.15,7.15,arriba
1779296779244,0.63,0.63,arriba
1779296779253,-1.25,-1.25,arriba
1779296779257,-6.94,-6.94,arriba
1779296779265,-12.05,-12.05,arriba
1779296779270,-14.66,-14.66,arriba
1779296779277,-23.01,-23.01,arriba
1779296779281,-30.52,-30.52,arriba
1779296779289,-37.28,-37.28,arriba
1779296779294,-43.36,-43.36,arriba
1779296779302,-44.84,-44.84,arriba
1779296779306,-48.17,-48.17,arriba
1779296779314,-53.16,-53.16,arriba
1779296779318,-53.66,-53.66,arriba
1779296779326,-56.1,-56.1,arriba
1779296779330,-56.31,-56.31,arriba
1779296779338,-56.49,-56.49,arriba
1779296779343,-60.65,-60.65,arriba
1779296779347,-62.4,-62.4,arriba
1779296779355,-59.97,-59.97,arriba
1779296779359,-61.78,-61.78,arriba
1779296779367,-59.42,-59.42,arriba
1779296779371,-61.29,-61.29,arriba
1779296779380,-64.97,-64.97,arriba
1779296779384,-64.29,-64.29,arriba
1779296779392,-67.67,-67.67,arriba
1779296779396,-70.71,-70.71,arriba
1779296779404,-73.46,-73.46,arriba
1779296779408,-81.92,-81.92,arriba
1779296779416,-87.54,-87.54,arriba
1779296779421,-88.6,-88.6,arriba
1779296779429,-91.55,-91.55,arriba
1779296779433,-90.21,-90.21,arriba
1779296779441,-91.0,-91.0,arriba
1779296779445,-89.71,-89.71,arriba
1779296779449,-84.55,-84.55,arriba
1779296779459,-81.91,-81.91,arriba
1779296779461,-81.53,-81.53,arriba
1779296779470,-79.19,-79.19,arriba
1779296779474,-79.08,-79.08,arriba
1779296779482,-76.99,-76.99,arriba
1779296779486,-73.1,-73.1,arriba
1779296779494,-73.6,-73.6,arriba
1779296779498,-74.05,-74.05,arriba
1779296779506,-76.46,-76.46,arriba
1779296779511,-84.63,-84.63,arriba
1779296779519,-85.98,-85.98,arriba
1779296779523,-87.19,-87.19,arriba
1779296779531,-88.28,-88.28,arriba
1779296779535,-87.27,-87.27,arriba
1779296779544,-86.35,-86.35,arriba
1779296779548,-85.53,-85.53,arriba
1779296779552,-82.79,-82.79,arriba
1779296779560,-82.32,-82.32,arriba
