timestamp_ms,H,V,etiqueta
1779296502746,-25.29,-25.29,arriba
1779296502750,-21.86,-21.86,arriba
1779296502758,-16.78,-16.78,arriba
1779296502762,-12.2,-12.2,arriba
1779296502766,-8.09,-8.09,arriba
1779296502775,-2.38,-2.38,arriba
1779296502779,2.75,2.75,arriba
1779296502787,7.37,7.37,arriba
1779296502791,11.53,11.53,arriba
1779296502799,15.27,15.27,arriba
1779296502803,16.64,16.64,arriba
1779296502811,21.87,21.87,arriba
1779296502815,20.58,20.58,arriba
1779296502824,17.42,17.42,arriba
1779296502828,14.57,14.57,arriba
1779296502836,8.01,8.01,arriba
1779296502840,6.11,6.11,arriba
1779296502844,4.39,4.39,arriba
1779296502852,2.85,2.85,arriba
1779296502856,1.46,1.46,arriba
1779296502865,0.21,0.21,arriba
1779296502869,-2.91,-2.91,arriba
1779296502877,-5.73,-5.73,arriba
1779296502881,-8.26,-8.26,arriba
1779296502889,-10.54,-10.54,arriba
1779296502893,-12.59,-12.59,arriba
1779296502901,-16.43,-16.43,arriba
1779296502906,-17.89,-17.89,arriba
1779296502910,-15.21,-15.21,arriba
1779296502918,-14.79,-14.79,arriba
1779296502922,-12.42,-12.42,arriba
1779296502930,-10.28,-10.28,arriba
1779296502934,-8.35,-8.35,arriba
1779296502942,-2.62,-2.62,arriba
1779296502946,2.54,2.54,arriba
1779296502955,9.18,9.18,arriba
1779296502959,17.16,17.16,arriba
1779296502967,20.34,20.34,arriba
1779296502971,21.2,21.2,arriba
1779296502977,23.97,23.97,arriba
1779296502983,20.47,20.47,arriba
1779296502987,15.32,15.32,arriba
1779296502996,10.69,10.69,arriba
1779296503000,4.51,4.51,arriba
1779296503008,-1.04,-1.04,arriba
1779296503012,-12.04,-12.04,arriba
1779296503020,-21.94,-21.94,arriba
1779296503024,-24.85,-24.85,arriba
1779296503032,-31.47,-31.47,arriba
1779296503037,-39.43,-39.43,arriba
1779296503045,-42.59,-42.59,arriba
1779296503049,-41.43,-41.43,arriba
1779296503057,-46.39,-46.39,arriba
1779296503061,-78.86,-78.86,arriba
1779296503067,-88.08,-88.08,arriba
1779296503074,-98.37,-98.37,arriba
1779296503078,-95.64,-95.64,arriba
1779296503086,-71.18,-71.18,arriba
1779296503090,-209.17,-209.17,arriba
1779296503098,-233.35,-233.35,arriba
1779296503102,-127.12,-127.12,arriba
1779296503110,-97.51,-97.51,arriba
1779296503114,-74.87,-74.87,arriba
1779296503123,43.52,43.52,arriba
1779296503127,152.06,152.06,arriba
1779296503135,363.75,363.75,arriba
1779296503139,580.27,580.27,arriba
1779296503147,765.14,765.14,arriba
1779296503151,999.52,999.52,arriba
1779296503161,1266.47,1266.47,arriba
1779296503164,1594.72,1594.72,arriba
1779296503172,1980.14,1980.14,arriba
1779296503176,2415.02,2415.02,arriba
1779296503184,2834.42,2834.42,arriba
1779296503188,3213.87,3213.87,arriba
1779296503196,3557.38,3557.38,arriba
1779296503200,3868.54,3868.54,arriba
1779296503209,4148.58,4148.58,arriba
1779296503213,4400.62,4400.62,arriba
1779296503221,4627.45,4627.45,arriba
