timestamp_ms,H,V,etiqueta
1778785952522,70.01,70.01,derecha
1778785952522,69.77,69.77,derecha
1778785952522,69.55,69.55,derecha
1778785952523,71.36,71.36,derecha
1778785952523,72.98,72.98,derecha
1778785952523,72.45,72.45,derecha
1778785952524,69.96,69.96,derecha
1778785952524,69.72,69.72,derecha
1778785952524,67.51,67.51,derecha
1778785952525,63.52,63.52,derecha
1778785952525,59.93,59.93,derecha
1778785952547,58.7,58.7,derecha
1778785952549,57.59,57.59,derecha
1778785952550,56.59,56.59,derecha
1778785952550,55.69,55.69,derecha
1778785952550,48.88,48.88,derecha
1778785952551,42.75,42.75,derecha
1778785952551,41.24,41.24,derecha
1778785952551,37.87,37.87,derecha
1778785952552,38.85,38.85,derecha
1778785952552,41.72,41.72,derecha
1778785952567,42.31,42.31,derecha
1778785952567,42.84,42.84,derecha
1778785952569,41.31,41.31,derecha
1778785952590,37.94,37.94,derecha
1778785952610,42.91,42.91,derecha
1778785952630,45.38,45.38,derecha
1778785952671,43.6,43.6,derecha
1778785952674,40.0,40.0,derecha
1778785952695,36.76,36.76,derecha
1778785952715,35.84,35.84,derecha
1778785952735,35.02,35.02,derecha
1778785952754,34.28,34.28,derecha
1778785952773,35.61,35.61,derecha
1778785952793,34.81,34.81,derecha
1778785952813,30.09,30.09,derecha
1778785952814,27.84,27.84,derecha
1778785952814,25.82,25.82,derecha
1778785952814,23.99,23.99,derecha
1778785952835,22.35,22.35,derecha
1778785952835,20.88,20.88,derecha
1778785952835,17.55,17.55,derecha
1778785952836,16.56,16.56,derecha
1778785952836,13.66,13.66,derecha
1778785952836,13.05,13.05,derecha
1778785952857,10.51,10.51,derecha
1778785952878,4.22,4.22,derecha
1778785952878,-7.44,-7.44,derecha
1778785952898,-17.94,-17.94,derecha
1778785952898,-29.39,-29.39,derecha
1778785952917,-39.69,-39.69,derecha
1778785952918,-54.96,-54.96,derecha
1778785952918,-66.7,-66.7,derecha
1778785952918,-75.27,-75.27,derecha
1778785952918,-84.98,-84.98,derecha
1778785952919,-89.73,-89.73,derecha
1778785952937,-89.99,-89.99,derecha
1778785952938,-94.23,-94.23,derecha
1778785952956,-108.05,-108.05,derecha
