timestamp_ms,H,V,etiqueta
1778726155764,7.14,7.14,izquierda
1778726155764,20.56,20.56,izquierda
1778726155764,18.64,18.64,izquierda
1778726155765,14.91,14.91,izquierda
1778726155765,25.56,25.56,izquierda
1778726155794,15.14,15.14,izquierda
1778726155795,11.76,11.76,izquierda
1778726155796,20.72,20.72,izquierda
1778726155796,8.78,8.78,izquierda
1778726155797,12.04,12.04,izquierda
1778726155816,16.97,16.97,izquierda
1778726155816,7.41,7.41,izquierda
1778726155816,14.81,14.81,izquierda
1778726155843,11.46,11.46,izquierda
1778726155843,-1.55,-1.55,izquierda
1778726155843,4.74,4.74,izquierda
1778726155844,-3.6,-3.6,izquierda
1778726155844,-11.1,-11.1,izquierda
1778726155870,-5.85,-5.85,izquierda
1778726155871,-15.13,-15.13,izquierda
1778726155871,-15.48,-15.48,izquierda
1778726155872,-7.8,-7.8,izquierda
1778726155874,-20.88,-20.88,izquierda
1778726155901,-18.66,-18.66,izquierda
1778726155901,-18.66,-18.66,izquierda
1778726155902,-34.66,-34.66,izquierda
1778726155902,-29.05,-29.05,izquierda
1778726155929,-32.01,-32.01,izquierda
1778726155929,-40.68,-40.68,izquierda
1778726155929,-30.47,-30.47,izquierda
1778726155930,-35.29,-35.29,izquierda
1778726155930,-35.62,-35.62,izquierda
1778726155957,-21.93,-21.93,izquierda
1778726155957,-29.6,-29.6,izquierda
1778726155958,-24.5,-24.5,izquierda
1778726155958,-15.92,-15.92,izquierda
1778726155958,-26.19,-26.19,izquierda
1778726155985,-15.43,-15.43,izquierda
1778726155985,-11.75,-11.75,izquierda
1778726155986,-16.44,-16.44,izquierda
1778726155986,-2.66,-2.66,izquierda
1778726155987,-4.26,-4.26,izquierda
1778726156014,-7.7,-7.7,izquierda
1778726156042,3.21,3.21,izquierda
1778726156043,-0.98,-0.98,izquierda
1778726156043,1.26,1.26,izquierda
1778726156043,11.27,11.27,izquierda
1778726156044,-1.72,-1.72,izquierda
1778726156044,-3.42,-3.42,izquierda
1778726156045,-4.94,-4.94,izquierda
1778726156045,-20.31,-20.31,izquierda
1778726156071,-16.14,-16.14,izquierda
1778726156072,-18.39,-18.39,izquierda
1778726156072,-26.42,-26.42,izquierda
1778726156073,-11.64,-11.64,izquierda
1778726156073,-10.34,-10.34,izquierda
1778726156101,-11.17,-11.17,izquierda
1778726156101,2.08,2.08,izquierda
1778726156101,-5.99,-5.99,izquierda
