timestamp_ms,H,V,etiqueta
1779164280667,44.57,44.57,parpadeo
1779164280670,37.17,37.17,parpadeo
1779164280670,30.51,30.51,parpadeo
1779164280700,30.51,30.51,parpadeo
1779164280700,20.52,20.52,parpadeo
1779164280701,17.52,17.52,parpadeo
1779164280701,20.83,20.83,parpadeo
1779164280702,13.8,13.8,parpadeo
1779164280702,17.48,17.48,parpadeo
1779164280722,16.78,16.78,parpadeo
1779164280723,6.16,6.16,parpadeo
1779164280723,10.6,10.6,parpadeo
1779164280749,8.6,8.6,parpadeo
1779164280749,2.79,2.79,parpadeo
1779164280750,9.57,9.57,parpadeo
1779164280750,3.67,3.67,parpadeo
1779164280750,-3.64,-3.64,parpadeo
1779164280777,-4.22,-4.22,parpadeo
1779164280777,-14.74,-14.74,parpadeo
1779164280777,-18.21,-18.21,parpadeo
1779164280780,-17.34,-17.34,parpadeo
1779164280781,-28.55,-28.55,parpadeo
1779164280807,-28.64,-28.64,parpadeo
1779164280808,-32.72,-32.72,parpadeo
1779164280808,-46.39,-46.39,parpadeo
1779164280808,-46.69,-46.69,parpadeo
1779164280809,-50.97,-50.97,parpadeo
1779164280835,-56.82,-56.82,parpadeo
1779164280836,-56.08,-56.08,parpadeo
1779164280836,-65.41,-65.41,parpadeo
1779164280836,-71.82,-71.82,parpadeo
1779164280837,-71.58,-71.58,parpadeo
1779164280864,-83.36,-83.36,parpadeo
1779164280865,-83.97,-83.97,parpadeo
1779164280865,-82.52,-82.52,parpadeo
1779164280866,-89.21,-89.21,parpadeo
1779164280893,-83.23,-83.23,parpadeo
1779164280893,-81.85,-81.85,parpadeo
1779164280894,-84.61,-84.61,parpadeo
1779164280894,-77.1,-77.1,parpadeo
1779164280895,-80.33,-80.33,parpadeo
1779164280921,-79.24,-79.24,parpadeo
1779164280947,-72.26,-72.26,parpadeo
1779164280948,-75.98,-75.98,parpadeo
1779164280948,-71.32,-71.32,parpadeo
1779164280949,-63.14,-63.14,parpadeo
1779164280949,-65.77,-65.77,parpadeo
1779164280949,-62.13,-62.13,parpadeo
1779164280950,-64.86,-64.86,parpadeo
1779164280950,-69.32,-69.32,parpadeo
1779164280950,-61.33,-61.33,parpadeo
1779164280977,-64.14,-64.14,parpadeo
1779164280977,-66.67,-66.67,parpadeo
1779164280978,-60.95,-60.95,parpadeo
1779164280978,-65.8,-65.8,parpadeo
1779164281005,-66.16,-66.16,parpadeo
1779164281006,-62.49,-62.49,parpadeo
1779164281006,-73.19,-73.19,parpadeo
1779164281007,-70.81,-70.81,parpadeo
1779164281034,-66.67,-66.67,parpadeo
1779164281034,-70.95,-70.95,parpadeo
1779164281034,-66.8,-66.8,parpadeo
1779164281035,-73.06,-73.06,parpadeo
1779164281035,-94.7,-94.7,parpadeo
1779164281062,-96.18,-96.18,parpadeo
1779164281062,-85.5,-85.5,parpadeo
1779164281062,-75.9,-75.9,parpadeo
1779164281063,-41.25,-41.25,parpadeo
1779164281063,-6.07,-6.07,parpadeo
1779164281090,41.59,41.59,parpadeo
1779164281090,106.49,106.49,parpadeo
1779164281090,182.9,182.9,parpadeo
1779164281091,269.66,269.66,parpadeo
1779164281091,345.75,345.75,parpadeo
1779164281117,414.23,414.23,parpadeo
1779164281118,481.87,481.87,parpadeo
1779164281118,524.74,524.74,parpadeo
1779164281119,553.32,553.32,parpadeo
1779164281145,573.04,573.04,parpadeo
1779164281145,566.79,566.79,parpadeo
1779164281146,563.17,563.17,parpadeo
1779164281146,549.91,549.91,parpadeo
1779164281172,519.98,519.98,parpadeo
1779164281173,493.03,493.03,parpadeo
1779164281173,450.79,450.79,parpadeo
1779164281173,408.76,408.76,parpadeo
1779164281174,376.94,376.94,parpadeo
1779164281200,334.3,334.3,parpadeo
1779164281200,295.93,295.93,parpadeo
1779164281201,261.39,261.39,parpadeo
1779164281201,216.31,216.31,parpadeo
1779164281202,183.74,183.74,parpadeo
1779164281228,148.42,148.42,parpadeo
1779164281228,104.63,104.63,parpadeo
1779164281229,71.22,71.22,parpadeo
1779164281229,33.16,33.16,parpadeo
1779164281229,-1.1,-1.1,parpadeo
1779164281256,-23.94,-23.94,parpadeo
1779164281256,-50.49,-50.49,parpadeo
1779164281256,-70.38,-70.38,parpadeo
1779164281257,-84.29,-84.29,parpadeo
1779164281283,-106.8,-106.8,parpadeo
1779164281284,-123.07,-123.07,parpadeo
1779164281284,-137.7,-137.7,parpadeo
1779164281284,-154.88,-154.88,parpadeo
1779164281311,-158.33,-158.33,parpadeo
1779164281311,-167.44,-167.44,parpadeo
1779164281312,-175.64,-175.64,parpadeo
1779164281312,-179.02,-179.02,parpadeo
1779164281312,-186.06,-186.06,parpadeo
1779164281339,-182.4,-182.4,parpadeo
1779164281339,-177.11,-177.11,parpadeo
1779164281340,-186.34,-186.34,parpadeo
1779164281340,-188.65,-188.65,parpadeo
1779164281340,-194.73,-194.73,parpadeo
1779164281366,-204.2,-204.2,parpadeo
1779164281367,-206.72,-206.72,parpadeo
1779164281367,-219.0,-219.0,parpadeo
