timestamp_ms,H,V,etiqueta
1778716148354,-28.85,-28.85,reposo
1778716148365,-5.3,-5.3,reposo
1778716148365,23.9,23.9,reposo
1778716148365,56.18,56.18,reposo
1778716148366,99.23,99.23,reposo
1778716148393,133.97,133.97,reposo
1778716148395,167.25,167.25,reposo
1778716148395,197.19,197.19,reposo
1778716148396,212.14,212.14,reposo
1778716148396,221.59,221.59,reposo
1778716148415,230.1,230.1,reposo
1778716148415,227.76,227.76,reposo
1778716148416,225.65,225.65,reposo
1778716148417,219.75,219.75,reposo
1778716148442,208.45,208.45,reposo
1778716148442,198.27,198.27,reposo
1778716148443,185.11,185.11,reposo
1778716148443,169.27,169.27,reposo
1778716148469,159.01,159.01,reposo
1778716148470,139.78,139.78,reposo
1778716148470,122.47,122.47,reposo
1778716148471,108.89,108.89,reposo
1778716148471,86.67,86.67,reposo
1778716148497,72.67,72.67,reposo
1778716148497,56.07,56.07,reposo
1778716148498,37.13,37.13,reposo
1778716148498,26.09,26.09,reposo
1778716148524,12.15,12.15,reposo
1778716148524,-2.4,-2.4,reposo
1778716148524,-7.49,-7.49,reposo
1778716148525,-18.08,-18.08,reposo
1778716148550,-25.6,-25.6,reposo
1778716148551,-30.37,-30.37,reposo
1778716148551,-44.67,-44.67,reposo
1778716148552,-57.53,-57.53,reposo
1778716148552,-67.11,-67.11,reposo
1778716148578,-79.73,-79.73,reposo
1778716148579,-85.09,-85.09,reposo
1778716148579,-93.91,-93.91,reposo
1778716148579,-107.85,-107.85,reposo
1778716148605,-112.4,-112.4,reposo
1778716148606,-122.49,-122.49,reposo
1778716148606,-131.58,-131.58,reposo
1778716148607,-135.75,-135.75,reposo
1778716148607,-149.51,-149.51,reposo
1778716148633,-157.89,-157.89,reposo
1778716148634,-165.43,-165.43,reposo
1778716148634,-174.22,-174.22,reposo
1778716148634,-174.13,-174.13,reposo
1778716148635,-178.05,-178.05,reposo
1778716148661,-185.58,-185.58,reposo
1778716148661,-188.35,-188.35,reposo
1778716148661,-194.85,-194.85,reposo
1778716148662,-196.69,-196.69,reposo
1778716148688,-194.36,-194.36,reposo
1778716148688,-194.25,-194.25,reposo
1778716148689,-188.16,-188.16,reposo
1778716148689,-184.68,-184.68,reposo
1778716148715,-187.54,-187.54,reposo
1778716148715,-182.12,-182.12,reposo
1778716148716,-183.24,-183.24,reposo
1778716148716,-186.25,-186.25,reposo
1778716148716,-180.95,-180.95,reposo
1778716148742,-182.19,-182.19,reposo
1778716148743,-181.3,-181.3,reposo
1778716148743,-178.5,-178.5,reposo
1778716148744,-183.99,-183.99,reposo
1778716148744,-182.92,-182.92,reposo
1778716148770,-181.96,-181.96,reposo
1778716148770,-183.1,-183.1,reposo
1778716148771,-178.12,-178.12,reposo
1778716148771,-177.64,-177.64,reposo
1778716148797,-175.21,-175.21,reposo
1778716148797,-167.02,-167.02,reposo
1778716148798,-169.65,-169.65,reposo
1778716148798,-164.02,-164.02,reposo
1778716148824,-156.95,-156.95,reposo
1778716148824,-154.58,-154.58,reposo
