timestamp_ms,H,V,etiqueta
1778715776153,116.77,116.77,reposo
1778715776164,120.03,120.03,reposo
1778715776164,118.97,118.97,reposo
1778715776179,116.01,116.01,reposo
1778715776180,111.35,111.35,reposo
1778715776190,107.16,107.16,reposo
1778715776190,103.38,103.38,reposo
1778715776204,95.98,95.98,reposo
1778715776205,89.32,89.32,reposo
1778715776219,91.33,91.33,reposo
1778715776219,89.14,89.14,reposo
1778715776220,87.17,87.17,reposo
1778715776234,87.39,87.39,reposo
1778715776235,81.59,81.59,reposo
1778715776249,80.37,80.37,reposo
1778715776249,83.27,83.27,reposo
1778715776250,79.89,79.89,reposo
1778715776264,78.84,78.84,reposo
1778715776264,77.89,77.89,reposo
1778715776278,75.04,75.04,reposo
1778715776279,78.48,78.48,reposo
1778715776279,77.57,77.57,reposo
1778715776293,78.75,78.75,reposo
1778715776294,81.82,81.82,reposo
1778715776308,82.58,82.58,reposo
1778715776308,85.26,85.26,reposo
1778715776322,87.67,87.67,reposo
1778715776323,87.85,87.85,reposo
1778715776323,92.0,92.0,reposo
1778715776337,91.74,91.74,reposo
1778715776338,89.51,89.51,reposo
1778715776351,89.5,89.5,reposo
1778715776352,87.49,87.49,reposo
1778715776352,87.68,87.68,reposo
1778715776366,87.85,87.85,reposo
1778715776367,86.01,86.01,reposo
1778715776381,84.34,84.34,reposo
1778715776381,84.85,84.85,reposo
1778715776381,81.31,81.31,reposo
1778715776395,86.11,86.11,reposo
1778715776396,90.44,90.44,reposo
1778715776410,86.34,86.34,reposo
1778715776411,86.65,86.65,reposo
1778715776411,86.92,86.92,reposo
1778715776425,85.17,85.17,reposo
1778715776426,83.59,83.59,reposo
1778715776440,82.17,82.17,reposo
1778715776441,80.9,80.9,reposo
1778715776455,83.75,83.75,reposo
1778715776455,84.31,84.31,reposo
1778715776456,84.82,84.82,reposo
1778715776470,89.28,89.28,reposo
1778715776470,89.29,89.29,reposo
1778715776471,95.3,95.3,reposo
1778715776485,96.71,96.71,reposo
1778715776499,95.98,95.98,reposo
1778715776513,99.32,99.32,reposo
1778715776513,100.33,100.33,reposo
1778715776514,103.24,103.24,reposo
1778715776514,105.85,105.85,reposo
1778715776528,102.21,102.21,reposo
1778715776528,104.93,104.93,reposo
1778715776529,105.37,105.37,reposo
1778715776543,103.78,103.78,reposo
1778715776543,104.34,104.34,reposo
1778715776557,100.85,100.85,reposo
1778715776558,95.7,95.7,reposo
1778715776558,95.07,95.07,reposo
1778715776573,90.5,90.5,reposo
1778715776573,86.39,86.39,reposo
1778715776573,84.69,84.69,reposo
1778715776588,79.16,79.16,reposo
1778715776588,78.19,78.19,reposo
1778715776602,79.31,79.31,reposo
1778715776602,78.32,78.32,reposo
1778715776617,79.43,79.43,reposo
1778715776617,82.42,82.42,reposo
1778715776617,81.12,81.12,reposo
1778715776631,81.95,81.95,reposo
1778715776632,80.69,80.69,reposo
1778715776646,77.56,77.56,reposo
1778715776646,78.75,78.75,reposo
1778715776646,75.81,75.81,reposo
1778715776660,73.17,73.17,reposo
1778715776661,72.8,72.8,reposo
1778715776675,68.46,68.46,reposo
1778715776675,72.55,72.55,reposo
1778715776675,74.23,74.23,reposo
1778715776690,73.75,73.75,reposo
1778715776690,75.32,75.32,reposo
1778715776704,72.72,72.72,reposo
1778715776705,70.39,70.39,reposo
1778715776719,72.29,72.29,reposo
1778715776720,70.0,70.0,reposo
1778715776720,65.94,65.94,reposo
1778715776735,66.29,66.29,reposo
1778715776735,60.6,60.6,reposo
1778715776749,59.48,59.48,reposo
1778715776750,58.47,58.47,reposo
1778715776750,53.56,53.56,reposo
1778715776764,53.15,53.15,reposo
1778715776765,50.77,50.77,reposo
1778715776765,46.64,46.64,reposo
1778715776780,46.91,46.91,reposo
1778715776780,45.16,45.16,reposo
1778715776794,43.59,43.59,reposo
1778715776795,46.17,46.17,reposo
1778715776809,40.49,40.49,reposo
1778715776809,33.38,33.38,reposo
1778715776809,28.98,28.98,reposo
1778715776824,21.02,21.02,reposo
1778715776824,13.86,13.86,reposo
1778715776839,5.42,5.42,reposo
1778715776839,-2.19,-2.19,reposo
1778715776839,-5.03,-5.03,reposo
1778715776853,-11.58,-11.58,reposo
1778715776854,-15.49,-15.49,reposo
1778715776868,-17.0,-17.0,reposo
1778715776868,-22.36,-22.36,reposo
1778715776869,-21.18,-21.18,reposo
1778715776883,-20.12,-20.12,reposo
1778715776883,-25.17,-25.17,reposo
1778715776897,-23.71,-23.71,reposo
1778715776898,-20.4,-20.4,reposo
1778715776898,-23.42,-23.42,reposo
1778715776912,-20.14,-20.14,reposo
1778715776913,-19.19,-19.19,reposo
1778715776927,-18.33,-18.33,reposo
1778715776927,-11.55,-11.55,reposo
1778715776941,-7.46,-7.46,reposo
1778715776942,-7.77,-7.77,reposo
1778715776942,-4.06,-4.06,reposo
1778715776956,-2.71,-2.71,reposo
1778715776957,0.5,0.5,reposo
1778715776971,3.39,3.39,reposo
1778715776971,3.99,3.99,reposo
1778715776971,6.53,6.53,reposo
1778715776985,8.82,8.82,reposo
1778715776986,6.88,6.88,reposo
1778715776986,9.13,9.13,reposo
1778715777000,11.16,11.16,reposo
1778715777001,12.98,12.98,reposo
1778715777015,16.62,16.62,reposo
1778715777015,15.9,15.9,reposo
1778715777016,15.25,15.25,reposo
1778715777030,16.67,16.67,reposo
1778715777030,11.94,11.94,reposo
1778715777044,11.69,11.69,reposo
1778715777044,13.46,13.46,reposo
1778715777058,13.05,13.05,reposo
1778715777059,14.69,14.69,reposo
1778715777073,18.16,18.16,reposo
1778715777073,15.28,15.28,reposo
1778715777073,16.69,16.69,reposo
1778715777087,17.96,17.96,reposo
